Longitude;Latitude;Plot;Variety;NDRE;NDVI;RedEdge;NIR;Red;Distance
-73.928968;45.42925667;101;Calmant;0.2551;0.7276;0.1032;0.1737;0.0274;1309.331189
-73.92896283;45.429246;101;Calmant;0.209;0.5655;0.0814;0.1246;0.0345;1411.315135
-73.92896017;45.42923133;101;Calmant;0.0483;0.0875;0.0928;0.1025;0.0858;910.0853122
-73.9289605;45.42923533;101;Calmant;0.0654;0.0984;0.0913;0.1041;0.0853;909.2343715
-73.928958;45.42925333;101;Calmant;0.1719;0.4891;0.1457;0.2062;0.0708;968.6798813
-73.92901317;45.42930917;102;Nautica;0.1183;0.2784;0.0541;0.0688;0.0385;1438.579617
-73.929018;45.42931517;102;Nautica;0.0999;0.2432;0.0948;0.1158;0.0704;987.8389387
-73.929017;45.429315;102;Nautica;0.0583;0.1275;0.0891;0.1003;0.0776;978.3066845
-73.92897933;45.4293055;102;Nautica;0.0905;0.227;0.1012;0.1216;0.0765;927.3963672
-73.928983;45.42932567;102;Nautica;0.1297;0.351;0.1023;0.1325;0.0637;1023.741757
-73.92898183;45.42932217;102;Nautica;0.1225;0.3514;0.1059;0.1356;0.065;1013.221037
-73.92898183;45.42931817;103;Mast;0.0808;0.1933;0.1024;0.1205;0.0814;953.870076
-73.92897283;45.42930333;103;Mast;0.0635;0.1131;0.0794;0.0903;0.0719;978.1863494
-73.92894217;45.429297;103;Mast;0.062;0.1166;0.0938;0.1061;0.0842;954.0419832
-73.92894583;45.42930817;103;Mast;0.0939;0.2299;0.0978;0.1181;0.074;999.0043114
-73.928964;45.42933483;103;Mast;0.0681;0.1606;0.0986;0.1136;0.0819;954.9616867
-73.928957;45.42927217;104;Argosy;0.046;0.0733;0.0912;0.0999;0.0863;1007.952081
-73.92892983;45.42924483;104;Argosy;0.0578;0.0867;0.0827;0.0928;0.0778;1009.5852
-73.9289325;45.42929117;104;Argosy;4.8634;0.1338;0.0947;0.1088;0.0832;941.7506184
-73.9289335;45.42926817;105;Dresden;0.0876;0.2019;0.1105;0.1319;0.0874;987.7701758
-73.92892533;45.42925033;105;Dresden;0.0509;0.1112;0.0969;0.1072;0.0859;1018.936951
-73.92890067;45.42922717;105;Dresden;0.0499;0.0908;0.0934;0.1033;0.086;962.3880778
-73.92889483;45.4292485;105;Dresden;0.0505;0.083;0.0914;0.1013;0.0859;967.7859638
-73.9289095;45.42926633;105;Dresden;0.0709;0.1219;0.0952;0.11;0.0859;941.6646648
-73.92891767;45.42928133;105;Dresden;0.1155;0.3347;0.129;0.1626;0.0811;993.2626109
-73.9289415;45.42929517;106;Compass;0.0706;0.1428;0.0962;0.1108;0.0832;973.42452
-73.92894683;45.42931617;106;Compass;0.0553;0.0858;0.0948;0.1057;0.0891;925.9179653
-73.92894617;45.42931883;106;Compass;0.0985;0.2033;0.093;0.1135;0.0752;899.4528518
-73.9289485;45.42931417;106;Compass;0.0735;0.1389;0.0964;0.1117;0.0843;951.4977566
-73.92894817;45.42932967;106;Compass;0.0924;0.1774;0.1076;0.1294;0.0904;886.4222861
-73.92895117;45.42931867;106;Compass;0.1054;0.2722;0.1152;0.1426;0.0816;946.3319453
-73.9289435;45.42930683;106;Compass;0.1114;0.2668;0.1113;0.1394;0.0808;949.477847
-73.92894483;45.4293075;106;Compass;0.0638;0.1228;0.1073;0.1222;0.0954;950.2600248
-73.92893833;45.42930767;107;Apex;0.0585;0.1302;0.1115;0.1253;0.0966;902.9769494
-73.92895667;45.4293395;107;Apex;0.1198;0.2509;0.1158;0.1477;0.0884;872.4376354
-73.92893667;45.42934717;107;Apex;0.1003;0.2446;0.0797;0.0979;0.059;1366.034779
-73.92893833;45.42933517;107;Apex;0.0702;0.1256;0.1115;0.1283;0.0997;917.4085589
-73.92894083;45.42933317;107;Apex;0.1361;0.3171;0.1175;0.1543;0.0799;923.9582232
-73.92893;45.42932467;107;Apex;0.1458;0.328;0.1167;0.1565;0.0793;932.166792
-73.92893017;45.42932483;107;Apex;0.0637;0.1187;0.1049;0.1193;0.0941;889.3275178
-73.9289285;45.42928867;108;Knight Rider;0.0785;0.156;0.1073;0.1257;0.0915;976.64778
-73.92890467;45.42925367;108;Knight Rider;0.0614;0.0905;0.088;0.0997;0.0832;986.0768899
-73.92890033;45.42924967;108;Knight Rider;0.1335;0.3437;0.1123;0.1467;0.0716;1010.057944
-73.92888617;45.42925933;108;Knight Rider;0.0448;0.0881;0.0941;0.1031;0.0865;924.6200659
-73.92889233;45.429281;109;Red Rider;0.0847;0.2135;0.129;0.1526;0.099;886.9809845
-73.928887;45.429275;109;Red Rider;0.0866;0.1884;0.1084;0.1294;0.0881;981.2205115
-73.92887767;45.42926233;109;Red Rider;0.1339;0.3262;0.1268;0.1662;0.0844;875.3514624
-73.9288595;45.42927033;109;Red Rider;0.0618;0.1651;0.1045;0.1182;0.0846;930.4391246
-73.9288675;45.4292845;109;Red Rider;0.0708;0.1706;0.1083;0.1247;0.0883;956.1736325
-73.92887517;45.429293;109;Red Rider;0.0814;0.2097;0.1196;0.1409;0.0919;903.4410989
-73.92887583;45.42930233;109;Red Rider;15.7305;0.4202;0.1453;0.1951;0.0797;866.197404
-73.92891867;45.42933333;110;Majesty;0.0659;0.1411;0.0987;0.1128;0.0849;906.3463306
-73.92891917;45.429328;110;Majesty;0.0771;0.1395;0.1084;0.1266;0.0957;879.6663331
-73.92892533;45.42934;110;Majesty;0.1817;0.4837;0.1579;0.2279;0.0792;920.4599117
-73.92893583;45.42935;110;Majesty;0.1086;0.2544;0.1277;0.1589;0.0941;883.5256498
-73.92892667;45.429337;110;Majesty;0.181;0.485;0.1476;0.2128;0.0739;913.7985077
-73.92890767;45.429339;110;Majesty;0.1753;0.4908;0.1625;0.2317;0.0792;894.0291797
-73.928907;45.4293385;110;Majesty;0.1752;0.4895;0.1621;0.2308;0.079;891.1067573
-73.92889917;45.42932833;110;Majesty;0.0824;0.1605;0.1097;0.1294;0.0935;952.486223
-73.92889983;45.42932917;110;Majesty;0.0772;0.1555;0.1096;0.1281;0.0935;1275.972597
-73.92889333;45.429332;111;Sheek;0.0651;0.1468;0.122;0.1388;0.1032;870.4864886
-73.9288895;45.42933883;111;Sheek;0.0993;0.1931;0.1134;0.1383;0.0933;944.9910691
-73.9288975;45.42935567;111;Sheek;0.0853;0.164;0.1125;0.1335;0.0958;931.0751813
